iter	RMSE
0	2.180902455
1	2.176854535
2	2.173231684
3	2.16962508
4	2.166124493
5	2.16295239
6	2.159980738
7	2.157738562
8	2.154837828
9	2.152514893
10	2.149739223
11	2.147517358
12	2.14534983
13	2.143396113
14	2.141362235
15	2.139588665
16	2.138170722
17	2.136245065
18	2.134479866
19	2.133000905
20	2.131225351
21	2.129895981
22	2.128534759
23	2.127143503
24	2.125412595
25	2.124052479
26	2.123190758
27	2.121861922
28	2.120434461
29	2.119068318
30	2.118068107
31	2.11683619
32	2.115429481
33	2.114570425
34	2.113314175
35	2.112452189
36	2.111536515
37	2.110310369
38	2.109354441
39	2.108765432
40	2.10775447
41	2.106564095
42	2.105691194
43	2.10476773
44	2.103742515
45	2.102906686
46	2.101963463
47	2.101255056
48	2.100311912
49	2.099301732
50	2.098410633
51	2.097908088
52	2.097172227
53	2.096441956
54	2.095720177
55	2.094971903
56	2.094203251
57	2.093594313
58	2.09309835
59	2.092326204
60	2.091054118
61	2.090321104
62	2.089300626
63	2.088393264
64	2.087776466
65	2.087537747
66	2.086904696
67	2.086298564
68	2.085694666
69	2.085118845
70	2.084530806
71	2.083823543
72	2.083239894
73	2.08244493
74	2.081612531
75	2.081012524
76	2.080167132
77	2.079554787
78	2.078797731
79	2.077878607
80	2.077310278
81	2.07702272
82	2.076730714
83	2.076344713
84	2.075899696
85	2.075115331
86	2.074538645
87	2.074056158
88	2.073395962
89	2.072805033
90	2.072150712
91	2.071580069
92	2.070957996
93	2.070257761
94	2.06958959
95	2.069276105
96	2.068659333
97	2.067934214
98	2.067334801
99	2.06678378
100	2.066177152
101	2.065827829
102	2.065143527
103	2.064373955
104	2.063550345
105	2.06307633
106	2.062414374
107	2.061852503
108	2.061279561
109	2.060633988
110	2.060126462
111	2.059624284
112	2.05882888
113	2.058206364
114	2.057674222
115	2.056933903
116	2.056610738
117	2.056248682
118	2.05579555
119	2.055419391
120	2.05499863
121	2.05456778
122	2.054017943
123	2.053454928
124	2.052864768
125	2.052535496
126	2.052061185
127	2.051579878
128	2.051091376
129	2.050657847
130	2.050510863
131	2.049914922
132	2.049769085
133	2.049284419
134	2.048751025
135	2.048325266
136	2.04799552
137	2.047392631
138	2.047050246
139	2.046480761
140	2.046089003
141	2.045780758
142	2.045414259
143	2.044936114
144	2.044283708
145	2.043932104
146	2.043540095
147	2.043063184
148	2.042528775
149	2.041949769
150	2.04143571
151	2.04112028
152	2.040483841
153	2.039993788
154	2.03943867
155	2.039097058
156	2.03889327
157	2.038601818
158	2.038276864
159	2.037808613
160	2.03738903
161	2.036818719
162	2.036426048
163	2.035907838
164	2.035387585
165	2.034950654
166	2.034614223
167	2.034106091
168	2.033786153
169	2.033429591
170	2.03293271
171	2.03251972
172	2.03206024
173	2.031646837
174	2.031199844
175	2.030935503
176	2.03043773
177	2.0301764
178	2.029669379
179	2.029237298
180	2.028815938
181	2.028401179
182	2.027925328
183	2.027693931
184	2.027309026
185	2.026975319
186	2.026312604
187	2.02589132
188	2.025262761
189	2.024628565
190	2.024299462
191	2.023961579
192	2.023528941
193	2.023081059
194	2.022555383
195	2.022229446
196	2.021707518
197	2.021038488
198	2.020755677
199	2.020395377
200	2.020055405
201	2.019643446
202	2.019135235
203	2.018473832
204	2.018034808
205	2.017445375
206	2.017174887
207	2.016539913
208	2.016084922
209	2.015690905
210	2.015187937
211	2.014864894
212	2.014412332
213	2.013923167
214	2.013518826
215	2.01308231
216	2.012345198
217	2.012032829
218	2.011807963
219	2.011120077
220	2.010602696
221	2.010035382
222	2.009714755
223	2.009167705
224	2.008828415
225	2.008294122
226	2.007975047
227	2.007596984
228	2.007300637
229	2.006643546
230	2.0063869
231	2.005703872
232	2.005158828
233	2.004563372
234	2.00416937
235	2.003866164
236	2.003550248
237	2.003023278
238	2.00260897
239	2.00227065
240	2.001591334
241	2.001270997
242	2.001017905
243	2.000614738
244	2.000078643
245	1.999574116
246	1.998924321
247	1.998482904
248	1.997957776
249	1.997509202
250	1.997227993
251	1.996652015
252	1.996315633
253	1.995718599
254	1.995209382
255	1.994867701
256	1.994402536
257	1.993995992
258	1.993592745
259	1.993218443
260	1.992601278
261	1.992239971
262	1.991462287
263	1.990988644
264	1.990659237
265	1.990035452
266	1.989444541
267	1.989163358
268	1.988683671
