iter	Passed	Remaining
0	27	13619
1	51	12905
2	76	12623
3	99	12363
4	124	12324
5	149	12268
6	174	12261
7	208	12833
8	235	12855
9	260	12752
10	285	12709
11	311	12667
12	335	12577
13	365	12684
14	390	12618
15	415	12566
16	442	12564
17	469	12579
18	494	12524
19	519	12466
20	546	12460
21	571	12408
22	594	12333
23	617	12241
24	640	12160
25	664	12110
26	689	12074
27	714	12041
28	739	12007
29	763	11957
30	796	12052
31	832	12173
32	862	12205
33	891	12212
34	919	12212
35	945	12188
36	972	12172
37	998	12138
38	1024	12106
39	1047	12050
40	1072	12009
41	1098	11976
42	1132	12035
43	1161	12034
44	1187	12007
45	1213	11974
46	1240	11956
47	1268	11949
48	1295	11920
49	1320	11882
50	1345	11844
51	1370	11809
52	1395	11768
53	1421	11740
54	1447	11710
55	1471	11666
56	1496	11630
57	1518	11575
58	1543	11540
59	1571	11520
60	1596	11492
61	1621	11455
62	1645	11416
63	1670	11378
64	1693	11332
65	1718	11297
66	1743	11267
67	1768	11234
68	1794	11208
69	1819	11173
70	1843	11140
71	1871	11125
72	1895	11088
73	1919	11050
74	1945	11022
75	1968	10984
76	1993	10952
77	2019	10925
78	2049	10924
79	2078	10911
80	2103	10881
81	2129	10854
82	2156	10832
83	2183	10811
84	2209	10786
85	2235	10762
86	2263	10743
87	2294	10742
88	2320	10714
89	2343	10674
90	2369	10651
91	2396	10626
92	2424	10608
93	2450	10582
94	2476	10558
95	2502	10531
96	2528	10505
97	2555	10480
98	2580	10450
99	2606	10424
100	2630	10392
101	2654	10356
102	2678	10323
103	2703	10293
104	2726	10256
105	2749	10221
106	2775	10194
107	2802	10173
108	2827	10143
109	2852	10112
110	2876	10080
111	2902	10054
112	2930	10035
113	2955	10008
114	2982	9985
115	3008	9958
116	3030	9921
117	3059	9905
118	3086	9881
119	3114	9862
120	3140	9837
121	3165	9808
122	3190	9779
123	3219	9761
124	3248	9744
125	3278	9730
126	3309	9718
127	3335	9692
128	3360	9665
129	3387	9641
130	3414	9619
131	3441	9594
132	3469	9574
133	3498	9554
134	3535	9560
135	3565	9543
136	3600	9539
137	3636	9538
138	3670	9531
139	3703	9523
140	3735	9510
141	3774	9515
142	3814	9522
143	3850	9519
144	3880	9500
145	3910	9482
146	3942	9468
147	3971	9445
148	4002	9429
149	4033	9412
150	4061	9386
151	4085	9354
152	4113	9329
153	4141	9305
154	4166	9274
155	4193	9246
156	4223	9226
157	4252	9204
158	4278	9175
159	4304	9146
160	4331	9119
161	4355	9087
162	4380	9057
163	4409	9033
164	4436	9007
165	4464	8982
166	4488	8950
167	4514	8921
168	4540	8892
169	4567	8865
170	4592	8835
171	4618	8806
172	4640	8772
173	4665	8742
174	4689	8709
175	4714	8679
176	4738	8647
177	4762	8615
178	4787	8586
179	4813	8556
180	4837	8526
181	4864	8500
182	4899	8486
183	4926	8460
184	4952	8432
185	4981	8409
186	5007	8381
187	5035	8357
188	5061	8328
189	5086	8298
190	5112	8270
191	5137	8240
192	5160	8209
193	5185	8179
194	5211	8150
195	5234	8119
196	5259	8089
197	5283	8059
198	5306	8026
199	5329	7994
200	5354	7964
201	5378	7935
202	5403	7905
203	5428	7876
204	5454	7848
205	5479	7819
206	5504	7790
207	5531	7765
208	5555	7735
209	5580	7705
210	5603	7675
211	5627	7644
212	5651	7614
213	5674	7583
214	5697	7552
215	5720	7520
216	5742	7489
217	5766	7459
218	5790	7429
219	5816	7402
220	5840	7373
221	5865	7344
222	5890	7316
223	5914	7287
224	5940	7260
225	5967	7234
226	5992	7207
227	6018	7180
228	6043	7151
229	6069	7125
230	6094	7096
231	6119	7069
232	6142	7039
233	6165	7008
234	6188	6978
235	6211	6948
236	6234	6918
237	6262	6893
238	6286	6865
239	6311	6836
240	6339	6812
241	6363	6784
242	6389	6757
243	6414	6730
244	6441	6704
245	6469	6679
246	6496	6654
247	6523	6628
248	6547	6600
249	6574	6574
250	6598	6545
251	6623	6518
252	6644	6487
253	6667	6457
254	6691	6429
255	6714	6399
256	6736	6369
257	6759	6340
258	6783	6312
259	6808	6284
260	6835	6259
261	6858	6230
262	6884	6203
263	6910	6177
264	6936	6150
265	6959	6122
266	6986	6096
267	7010	6068
268	7033	6040
